LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
A173,Valvula exterior Fiat 1600. Ref Orig 4118615.,33586.56,
A174,Valvula interior Fiat 1600. Ref. Orig. 4118614.,21293.44,
A175,Resorte para retroceso butaca Ika Torino.,8561.28,
A176,Contrapeso dist. Opel K 180 y Ford Spring. Pesado.,6366.08,
A177,Contrapeso dist. Opel K 180 y Ford Spring.Liviano.,6366.08,
A178,Contrapeso distribuidor Renault 12.,3731.84,
A179,Contrapeso distribuidor Ford Falcon.,3731.84,
A180,Contrapeso distribuidor Fiat 600.,3292.80,
A181,Contrapeso distribuidor Peugeot. Pesado.,6892.93,
A182,Contrapeso distribuidor Peugeot. liniano.,6892.93,
A183,Bomba de Embrague Peugeot. Caja B A 7.,4293.88,
A184,Reforma cilindro de Freno 11/16. Varios.,4170.88,
A185,"Patin freno Ford F 100 del. tras. Zapata primaria 10"". Dodge D100- D200. Valiant 3y4 ",13171.20,
A186,"Patin de Freno del. y tras.Valiant l y ll.Campana 9"".",13171.20,
A187,"Patin Freno del. y Tras.Ford Falcon y F 100.Dodge 10-200 registrado, Valiant.",11854.08,
A188,Patín superior Dodge 1500.,9219.84,
A189,Seg.rul. emp. Horq. Embrage M.Benz 3500-4500-L312.,3292.80,
A190,Valvúla Renault Dauphine 4L-4F-850-4.1960-70.Ref. orig. 6063170.,18878.72,
A191,Bomba Freno doble circuito Peugeot 504 y Dodge.,6563.65,
A192,"Cilindro Freno principal Chevrolet 400. Ford F 100, Falcon 1"". Ika (todos). M. Benz.",4609.92,
A193,"Cilindro Embrague opoerante Dodge D 100- D 400 mod. 60/68. Ford F100-500-600 1"".",2414.72,
A194,"Cilindro Embrague operante Ika (todos). 7/8"".",2634.24,
A195,Cilindro Freno princ. Ika (todos).Ford Falcon(ran),6146.56,
A196,Embrague F 400- F 600- F-700. Largo total 565mm.,43684.48,
A197,Guía caracol anclaje patines Freno Chevrolet.,3248.90,
A198,Pedal Embrague F 350 - F 3500. Largo total 460mm.,46538.24,
A199,Pedal de Freno Ami 8 y Citroen.,7814.91,
A200,Crapodina Embrague Renault 12 TS y TL.,16903.04,
A201,Crapodina Embrague Renault 6.,16464.00,
A202,Valvula Chevrolet y Pik-up 194- 230 desde 1962. Ref. Orig. 3836331.,34684.16,
A203,Válvula Dodge- Valiant motor 170- 225. desde l962.,37318.40,
A204,Válvula Perkins 3-152 4-203 6-305 exterior. desde,26342.40,
A205,Bomba de Nafta Peugeot.,3336.70,
A206,Diafragma bomba de nafta Ford Taunus. 1974.,7880.77,
A207,Bomba Nafta Ford Taunus mod. 74/80.,2568.38,
A208,Pata bomba de nafta Ford Falcon.,2568.38,
A209,Bomba de nafta F 600- F 100.,2370.82,
A210,Brazo bomba nafta Dodge y Plymauth.,2853.76,
A211,Leva bomba de nafta Ika Estanciera. Baqueano.doble,2853.76,
A212,Pata bomba nafta Ford F 100.,3073.28,
A213,Bomba de nafta universal cónico.,2173.25,
A214,Casco faro delantero Falcon mod 73.,10119.87,
A215,Faro Fairlane mod.69/70 doble.Resorte aro.,8736.90,
A216,Casco faro Ford F 100. Mod.74/81.,7353.92,
A217,Faro delantero Ford. Aro parrilla Falcon,9000.32,
A218,Casco faro delantero Ford Falcon.,8451.52,
A219,Regulador tornillo faro Fiat 600.,6124.61,
A220,Faro delantero Ford F 100 hasta l973.,7463.68,
A221,Faro optica casco duales Ford. mod. 73/80.,5519.91,
A222,Resorte para unidad sellada universal.,6888.69,
A223,Clip unidad sellada universal.,4607.39,
A224,Clip unidad sellada universal y Dodge.,4607.39,
A225,Clip unidad sellada Dodge 1500.,4607.39,
A226,Sosten unidad sellada chica universal.,14256.04,
A227,Sostén cristal faro Mercedes Benz 1120.,6432.43,
A228,Sosten cristal faro Mercedes Benz 312- 180.,5063.65,
A229,Sosten cristal faro M. Benz 3500. Aro con visera.,13799.78,
A230,Sosten cristal Mercedes Benz 3500. Original.,4607.39,
A231,Reten cristal faro Chevrolet.,4607.39,
A232,Reten faro Renault 4L y óptica Peugeot corto.,14256.04,
A233,Reten faro Renault 12.,14709.50,
A234,Reten cristal faro Peugeot 403- 404.,11039.82,
A235,Retén óptica Peugeot largo.,14256.04,
A236,Retén óptica Peugeot corto Cibis.,4607.39,
A237,Gancho superior casco faro Peugeot-Marchal.,5063.65,
A238,Retén cristal faro Mercedes Benz 170 D.,4607.39,
A239,Retén unidad sellada Peugeot.,4607.39,
A240,Seguro óptica Ami 8. Citroen.,4607.39,
A241,Traba rulemán empuje Peugeot.,3216.22,
A242,Capot Bedford (todos).,53779.94,
A243,Bomba Embrague Fiat 1500- 1600.,3902.39,
A244,Horquilla Embrague Mercedes Benz 1112- 1114.,24147.20,
A245,Presion de aceite Fiat 600.,2808.79,
A246,Pasador perno pastilla disco Peugeot - Fiat - Ford- Chevrolet- Dodge- Renault.,2303.70,
A247,Patín sup. del. Freno Mercedes Benz 170- 180.,12862.06,
A248,Patín Freno Mercedes Benz 911.,48733.44,
A250,Acelerador Mercedes Benz 608.,12073.60,
A251,Acelerador Ika. Rambler.,14618.40,
A252,Acelerador Bedford. J-6.,9197.89,
A253,Pedal Freno y Embrague Citroen 2 CV.,8780.80,
A254,Bomba Embrague Fiat 1500- 1600.,5597.76,
A255,Palanca cambio Renault 4 L. corto.,4666.35,
A256,Bomba de aceite Ford modelos viejos.,1975.68,
A257,Bomba de Acelerador Ford mod. viejos.,1975.68,
A258,Contrapeso distribuidor Falcon. secundario.,4170.88,
A259,Palanca carburador Jeep Willis.,8561.28,
A260,Bomba de aceite Fiat 125- 128.,3648.94,
A261,Pastilla Freno disco Ford- Chevrolet- Ika- Dodge.,7344.95,
A262,Seguro patín Ford Falcon F 100 y Pik up.,4128.74,
A263,Patin Freno Trasero Ciutroen 2 CV.,11952.34,
A264,Patín Freno sup. del. Citroen 2 CV.,12408.60,
A265,Patín Freno tras. Mercedes Benz 312- 3500.Reformas,31246.84,
A266,Patín Freno sup. Tras. Renault Fuego Y R 18.,8279.87,
A267,Patin inf. tras. Renault Fuego y Renault 18. Inferior trasero Chevrolet 400.,11854.08,
A268,Distensiador patín Freno Ford Sierra (derecho,8279.87,
A269,Distensiador patín Freno Ford Sierra (izquierdo).,8279.87,
A270,Patín Freno superior Ford Sierra (derecho).,8736.13,
A271,Patín Superior Ford Sierra (izquierdo).,8736.13,
A272,Patín Freno inferior Ford Sierra (derecho e izq.).,9192.39,
A273,Acelerador Ford Taunus.,6432.43,
A274,"Patín tras. corto Camión Chevrolet 4000-6000-6400-6600,",19750.76,
A275,Patín tra. largo. camión Chevrolet 4000-6000-6400-6600.,20229.41,
A276,Cilindro Freno rueda tras. y del. Siam Di Tella.,3292.80,
A277,Zapata patín Freno trasero. Ford 700- 900.,92368.93,
A278,Patín Freno inferior del.y tras. Mercedes Benz 608,11039.82,
A279,Pedal de freno Bedford.,22609.55,
A280,Pastilla Freno a disco Ford Taunus. Modelo viejo.,5509.95,
A281,Pastilla Freno a disco Ford Taunus. Modelo nuevo.,5509.95,
A282,Patín freno delantero M. Benz 312- 911- 3500.,30513.28,
A283,Filtro aceite Fiat 600.,2612.29,
A284,Bombín Embrague Peugeot 404-504 caja BA 7.,3292.80,
A285,"Bomba Freno Mercedes Benz 1 1/4"" bicónico.",8890.56,
A286,Valvula int. Perkins 6-354 1966/77. Ref.031744131.,21073.92,
