LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
RAC627,"Rac. Macho Bronce manguera 1/4"" X rosca 3/8"" gas",22617.52,
RAC628,"Rac. Macho Bronce manguera 5/16"" X rosca 3/8"" gas",19965.00,
RAC629,"Rac. Macho Bronce manguera 3/8"" X rosca 3/8"" gas",21799.66,
RAC630,"Rac. Macho Bronce manguera 1/2"" X rosca 3/8"" gas",21799.66,
RAC631,"Rac. Macho Bronce manguera 1/4"" X rosca 1/2"" gas",31547.65,
RAC632,"Rac. Macho Bronce manguera 3/8"" X rosca 1/2"" gas",31547.65,
RAC633,"Rac. Macho Bronce manguera 1/2"" X rosca 1/2"" gas",38000.00,
RAC634,"Rac. Macho Bronce manguera 3/4"" X rosca 1/2"" gas",45000.00,
RAC640,"Rac. Hembra Bronce manguera 1/4"" X rosca 1/8"" gas",13311.60,
RAC641,"Rac. Hembra Bronce manguera 5/16"" X rosca 1/8"" gas",13311.60,
,,,
,REDUCCIONES DE ACERO,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
RED270,"REDUC. ACERO 1/8"" M X 1/4"" M",7937.60,
RED271,"REDUC. ACERO 1/4"" M X 3/8"" M",10802.39,
RED272,"REDUC. ACERO 1/4"" M X 1/2"" M",17302.86,
RED273,"REDUC. ACERO 3/8"" M X 1/2"" M",17075.74,
RED274,"REDUC. ACERO 1/4"" M X 3/8"" H",24013.80,
RED275,"REDUC. ACERO 3/8"" M X 1/8"" H",6115.29,
RED276,"REDUC. ACERO 3/8"" M X 1/4"" H",6406.56,
RED277,"REDUC. ACERO 1/2"" M X 1/4"" H",8787.59,
RED278,"REDUC. ACERO 1/2"" M X 3/8"" H",9657.44,
RED279,"REDUC. ACERO 1/8"" M X 1/8"" H",12034.13,
RED280,"REDUC. ACERO 1/8"" M X 3/8"" M",15029.05,
RED282,"REDUC. ACERO 1/2"" H X 1/4"" H",24973.23,
RED341,"REDUC. ACERO 1/4"" M X 1/8"" H",4078.56,
,,,
,"RETEN DE SEGURIDAD ""RS"" DIN 6799. ",PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
RS1,"RS    1,2 DIN 6799",249.03,
RS2,"RS    1,5 DIN 6799",85.40,
RS3,"RS    1,9 DIN 6799",135.44,
RS11,"RS    2,3 DIN 6799",90.57,
RS13,"RS    3,2 DIN 6799",92.91,
RS4,RS    4 DIN 6799,112.40,
RS5,RS    5 DIN 6799,142.48,
RS6,RS    6 DIN 6799,138.33,
RS7,RS    7 DIN 6799,199.65,
RS8,RS    8 DIN 6799,254.71,
RS9,RS    9 DIN 6799,342.63,
RS10,RS   10 DIN 6799,475.44,
RS12,RS   12 DIN 6799,654.92,
RS15,RS   15 DIN 6799,1216.97,
RS19,RS   19 DIN 6799,2124.38,
RS24,RS   24 DIN 6799,3475.00,
SET158,"RETEN DE SEGURIDAD ""RS"" . 100 C/U Y CAJA PLASTICA",475081.76,
,,,
,RESORTES A PLATILLO (SA) (SB) DIN 2093,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
SB8,"Ø EXT 8 X Ø INTERIOR 4,2 X ESPESOR 0,30 MM",477.58,
SA8,"Ø EXT 8 X Ø INTERIOR 4,2 X ESPESOR 0,40 MM",492.01,
SB10,"Ø EXT 10 X Ø INTERIOR 5,2 X ESPESOR 0,40 MM",236.69,
SA10,"Ø EXT 10 X Ø INTERIOR 5,2 X ESPESOR 0,50 MM",255.65,
"SB12,5","Ø EXT 12,5 X Ø INTERIOR 6,2 X ESPESOR 0,50 MM",287.98,
SA12.5,"Ø EXT 12,5 X Ø INTERIOR 6,2 X ESPESOR 0,70 MM",328.86,
SB14,"Ø EXT 14 X Ø INTERIOR 7,2 X ESPESOR 0,50 MM",309.95,
SA14,"Ø EXT 14 X Ø INTERIOR 7,2 X ESPESOR 0,80 MM",418.88,
SB16,"Ø EXT 16 X Ø INTERIOR 8,2 X ESPESOR  0,60 MM",397.06,
SA16,"Ø EXT 16 X Ø INTERIOR 8,2 X ESPESOR 0,90 MM",481.40,
SB18,"Ø EXT 18 X Ø INTERIOR 9,2 X ESPESOR 0,70 MM",500.02,
SA18,"Ø EXT 18 X Ø INTERIOR 9,2 X ESPESOR 1,00 MM ",652.70,
SB20,"Ø EXT 20 X Ø INTERIOR 10,2 X ESPESOR 0,80 MM",632.86,
SA20,"Ø EXT 20 X Ø INTERIOR 10,2 X ESPESOR 1,10 MM",2493.87,
"SB22,5","Ø EXT 22,5 X Ø INTERIOR 11,2 X ESPESOR 0,80 MM",745.18,
SA22.5,"Ø EXT 22,5 X Ø INTERIOR 11,2 X ESPESOR 1,20 MM",2758.35,
SB25,"Ø EXT 25 X Ø INTERIOR 12,2 X ESPESOR 0,90 MM",937.98,
SA25,"Ø EXT 25 X Ø INTERIOR 12,2 X ESPESOR 1,50 MM",3120.91,
SB28,"Ø EXT 28 X Ø INTERIOR 14,2 X ESPESOR 1,00 MM",2911.02,
SA28,"Ø EXT 28 X Ø INTERIOR 14,2 X ESPESOR 1,50 MM",3256.54,
"SB31,5","Ø EXT 31,5 X Ø INTERIOR 16,3 X ESPESOR 1,20 MM",3606.54,
SA31.5,"Ø EXT 31,5 X Ø INTERIOR 16,3 X ESPESOR 1,70 MM",4270.40,
"SB35,5","Ø EXT 35,5 X Ø INTERIOR 18,3 X ESPESOR 1,20 MM",4024.36,
"SA35,5","Ø EXT 35,5 X Ø INTERIOR 18,3 X ESPESOR 2,00 MM",5378.25,
SB40,"Ø EXT 40 X Ø INTERIOR 20,4 X ESPESOR 1,50 MM",5410.58,
SA40,"Ø EXT 40 X Ø INTERIOR 20,4 X ESPESOR 2,25 MM",6958.60,
SB45,"Ø EXT 45 X Ø INTERIOR 22.5 X ESPESOR 1,75 MM",7729.91,
SA45,"Ø EXT 45 X Ø INTERIOR 22,5 X ESPESOR 2,50 MM",10351.39,
SB50,"Ø EXT 50 X Ø INTERIOR 25,4 X ESPESOR 2,00 MM",10904.22,
SA50,"Ø EXT 50 X Ø INTERIOR 25,4 X ESPESOR 3,00 MM",14580.49,
SB56,"Ø EXT 56 X Ø INTERIOR 28,5 X ESPESOR 2,00 MM",12016.41,
SA56,"Ø EXT 56 X Ø INTERIOR 28,5 X ESPESOR 3,00 MM",17760.25,
SB63,"Ø EXT 63 X Ø INTERIOR 31 X ESPESOR 2,50 MM",16902.40,
SA63,"Ø EXT 63 X Ø INTERIOR 31 X ESPESOR 3,50 MM",CONSULTAR,
SB71,"Ø EXT 71 X Ø INTERIOR 36 X ESPESOR 2,50 MM",21690.00,
SA71,"Ø EXT 71 X Ø INTERIOR 36 X ESPESOR 4,00 MM",CONSULTAR,
SB80,"Ø EXT 80 X Ø INTERIOR 41 X ESPESOR 3,00 MM",CONSULTAR,
SA80,"Ø EXT 80 X Ø INTERIOR 41 X ESPESOR 5,00 MM",CONSULTAR,
SB90,"Ø EXT 90 X Ø INTERIOR 46 X ESPESOR 3,50 MM",CONSULTAR,
SA90,"Ø EXT 90 X Ø INTERIOR 46 X ESPESOR 5,00 MM",CONSULTAR,
SB100,"Ø EXT 100 X Ø INTERIOR 51 X ESPESOR 3,5 MM",CONSULTAR,
SA100,"Ø EXT 100 X Ø INTERIOR 51 X ESPESOR 6,00 MM",CONSULTAR,
SB112,"Ø EXT 112 X Ø INTERIOR 57 X ESPESOR 4,00 MM",CONSULTAR,
SA112,"Ø EXT 112 X Ø INTERIOR 57 X ESPESOR 6,00 MM",CONSULTAR,
SA140,"Ø EXT 140 X Ø INTERIOR 72 X ESPESOR 8,00 MM",CONSULTAR,
SB160,"Ø EXT 160 X Ø INTERIOR 82 X ESPESOR 6,00 MM",CONSULTAR,
SB250,"Ø EXT 250 X Ø INTERIOR 127 X ESPESOR 10,00 MM",CONSULTAR,
,,,
,TAPONES DE CARTER ,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TAP1500,"TAPON 1/2"" SAE X 20 HILOS C/ARANDELA 12,7 X 20",9868.28,
TAP1501,"TAPON 14 X 1,50 CABEZA EXAGONAL Ø 22 MM. C/ARAND. 14 X 20",10225.30,
TAP1503,"TAPON 3/8""NPT CONICO X 18 HILOS S/ARANDELA",6678.95,
TAP1504,"TAPON 1/2"" GAS CONICO S/ARANDELA",10059.76,
TAP1512,"TAPON 5/8"" X 18 HILOS C/ARAND. 16 X 24",11463.67,
TAP1515,"TAPON 22 X 1,50 CABEZ  FRESADA CONICO S/ARAND.",11337.18,
TAP1516,"TAPON 22 X 1,50 EMB. EXAG 12 MM CONICO S/ARANDELA ",13143.39,
TAP1519,"TAPON 1/4""GAS X 19 HILOS CONICO S/ARANDELA",3844.60,
TAP1522,"TAPON 14 X 1,50 COMUN. CAB. EXAG. C/ARAND. 14 X 19",14103.62,
TAP1523,"TAPON 1/4""GAS X 19 HILOS CILINDRICO C/ARAND. 13 X 19",12311.21,
TAP1526,"TAPON 9/16"" X 18 HILOS C/ARAND. 14 X 22",10570.09,
TAP1530,"TAPON 14 X 1,50 CABEZA FRESADA C/ARAND. 14 X 22",9620.06,
TAP1530C,"TAPON 20 X 1,50 CABEZA EXG. COMUN 25,4 . ",22000.00,
TAP1531,"TAPON 18 X 1,50 CAB. RED. 23,8 EMB. CUADRADO 10 C/ARAND 18X24 ",12066.87,
TAP1531A,"TAPON 18X1,50 CAB.RED.23,8 EMB.EXAGAGONAL",18238.07,
TAP1532,"TAPON 18 X 1,50 CAB. FRESADA ROSCA CORTA C/ARANDELA 18 X 24",17856.03,
TAP1533,"TAPON 16 X 1,50 COMB. EXAG. EMB. CUAD.8 MM  C/ ARAND. 16 X 22",10952.28,
TAP1534,"TAPON 16 X 1,50 REBAJE CABEZA EXAG. Ø 23,8 MM C/ARAND. 16X24",11869.66,
TAP1535,"TAPON 14 X 1,25 EMB. EXAG. 8 MM C/ARAND. 14 X 20",10859.11,
TAP1537,"TAPON 14 X 1,50 CABEZA EXAGONAL 21 MM. C/ARAND 14 X 22",10225.30,
TAP1548,"TAPON 14 X 1,50 EXG. EMBUTIDO 8 MM C/ARAND.14 X 19",9760.15,
TAP1550,"TAPON 16 X 1,50 EXAGONAL Ø 20,6 MM C/ARAND. 16 X 22",11258.98,
TAP1562,"TAPON 22 X 1,50 CABEZA EXAGONAL 27 MM C/ARAND. 22 X 27",17860.89,
TAP1563,"TAPON 18 X 1,50 CABEZA EXAGONAL  25,4 MM  C/ARAND. 18 X 24",12414.38,
TAP1572,"TAPON 24 X 1,50 CABEZA. FRESADA . C/ARAND. 24X32",13811.88,
TAP1573,"TAPON 26 X 1,50 CABEZA FRESADA C/ARAND. 26 X 32",23885.44,
TAP1574,"TAPON 24 X 1,50  EXAG 17 mm . CONICO CAB. FRESADA S/ARAND.",17593.73,
TAP1575,"TAPON 24 X 1,50  EMBUTIDO CONICO S/ARAND.",18526.36,
TAP1578,"TAPON 3/4"" SAE X 16 HILOS C/ARAND. 26 X 32",16482.43,
TAP1579,"TAPON 3/4""GAS CON ARANDELA. 26 x 32",22366.21,
SET25,TAPONES DE CARTER CON 10 DE C/U EN 1 CAJA DE MADERA,4136456.56,
SET26,TAPONES DE CARTER CON 5 DE C/U EN 1 CAJA DE MADERA,2068228.28,
,,,
,TAPONES DE BLOCK ,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TAPB00018,"TAPON BLOCK 18,00 MM CUBETA",CONSULTAR,
TAPB00026,"TAPON BLOCK 26,00 MM CUBETA",CONSULTAR,
TAPB00028,"TAPON BLOCK 28,00 MM CUBETA",CONSULTAR,
TAPB00035,"TAPON BLOCK 35,00 MM CUBETA",CONSULTAR,
TAPB10147,"TAPON BLOCK 41,03 MM CUBETA",6140.41,
TAPB20102,"TAPON BLOCK 31,08 MM CUBETA",3508.81,
TAPB20105,"TAPON BLOCK 25,09 MM CUBETA",3508.81,
TAPB30070,"TAPON BLOCK 36,05 MM CUBETA",3508.81,
,,,
,TAPONES DE ACERO,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TAP230,"TAPON ACERO 1/8"" GAS",1581.63,
TAP231,"TAPON ACERO 1/4"" GAS",2525.58,
TAP232,"TAPON ACERO 3/8"" GAS",3731.38,
TAP233,"TAPON ACERO 1/2"" GAS",6641.35,
TAP234,"TAPON ACERO 3/4"" GAS",15314.73,
TAP235,"TAPON ACERO 1"" GAS",28952.85,
TAP240,"TAPON ACERO CAB. EMB. 1/8"" GAS",7969.73,
TAP241,"TAPON ACERO CAB. EMB. 1/4"" GAS",8743.38,
TAP242,"TAPON ACERO CAB. EMB. 3/8"" GAS",9885.44,
TAP243,"TAPON ACERO CAB. EMB. 1/2"" GAS",12235.86,
TAP244,"TAPON ACERO CAB. EMB. 3/4"" GAS",15219.94,
TAP270,TAPON ACERO 1/4 SAE,1020.01,
TAP284,"TAPON ACERO 1/8""NPT",2959.42,
TAP285,"TAPON ACERO 1/4""NPT",4241.47,
TAP286,"TAPON ACERO 3/8""NPT",6753.99,
TAP287,"TAPON ACERO 1/2""NPT",11720.09,
TAP296,"TAPON ACERO CAB. EMB. 1/8""NPT",8846.53,
TAP297,"TAPON ACERO CAB. EMB. 1/4""NPT",9708.60,
TAP298,"TAPON ACERO CAB. EMB. 3/8""NPT",10983.28,
TAP299,"TAPON ACERO CAB. EMB. 1/2""NPT",13562.12,
TAP300,"TAPON ACERO CAB. EMB. 3/4""NPT",16877.76,
TAP301,"TAPON ACERO CAB. EMB.  1"" NPT",22109.12,
,,,
,TAZAS GRASERAS,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TAZ1166,10.166 TAZA GRASERA Ø 40MM.CHEVROLET CORSA,6271.50,
TAZ1168,"10.168 TAZA GRASERA Ø 52,07MM BAJA. CHEVROLET",6271.50,
TAZ1169,"10.169 TAZA GRASERA Ø 52,07MM ALTA CHEV. PIK UP",6271.50,
TAZ1170,10.170 TAZA GRASERA Ø 40MM FALCON Y CHEVROLET,6271.50,
TAZ1171,"10.171 TAZA GRASERA Ø 45,03MM CHEVY Y PIK UP",6271.50,
TAZ2113,20.113 TAZA GRASERA Ø 65MM FORD SIERRA,6968.33,
TAZ2114,"20.114 TAZA GRASERA Ø 63,05MM FORD 250/350",10452.50,
TAZ2115,"20.115 TAZA GRASERA Ø 45,03MM FORD FALCON/ F 100",6271.50,
TAZ2117,20.117 TAZA GRASERA Ø 66MM (RUEDA 6 AUGEROS)F 600,34841.66,
TAZ2118,20.118 TAZA GRASERA Ø 83MM FORD 700 y BEDFORD,38325.83,
TAZ2119,20.119 TAZA GRASERA Ø 47MM FORD TAUNUS,6271.50,
TAZ2121,20.121 TAZA GRASERA Ø 47.02MM FORD ESCORT,6271.50,
TAZ2122,20.122 TAZA GRASERA Ø 57MM FORD 250/F350,10452.50,
TAZ2123,20.123 TAZA GRASERA Ø 50MM FORD F 100 93 EN ADELAN,6271.50,
TAZ3077,30.077 TAZA GRASERA Ø 40MM VOLKSW. GACEL /GOL,6271.50,
TAZ3078,30.078 TAZA GRASERA Ø 50MM DODGE 1500,6271.50,
TAZ3079,30.079 TAZA GRASERA Ø 50MM DODGE D200,6619.92,
TAZ3080,"30.080 TAZA GRASERA Ø 49,5MM PLYM COCHE/ESTANCIERA",6271.50,
TAZ3081,30.081 TAZA GRASERA Ø 40MM ALTA GACEL Y VALIANT,6271.50,
TAZ3082,"30.082 TAZA GRASERA Ø 45,03MM DODGE 100",6271.50,
TAZ3083,30.083 TAZA GRASERA Ø 76MM RUEDA 5 AUGEROS,34841.66,
TAZ3084,30084 TAZA GRASERA Ø 66MM RUEDA 6 AUGEROS,34841.66,
TAZ3085,"30.085 TAZA GRASERA Ø 54,05 POINTER/ ORION/",5574.67,
TAZ40020,"40020 Tapon block 25,02 mm Cubeta",2787.33,
TAZ40021,40021 Tapon block 40 mm Cubeta,4529.42,
TAZ4030,40.030 TAZA GRASERA Ø 47MM FIAT 600/1500/1600/125,6271.50,
TAZ5050,"50.050 TAZA GRASERA Ø 52,05MM RENAULT 11/19",6271.50,
TAZ5051,50.051 TAZA GRASERA Ø 54MM RENAULT TRAFIC,6271.50,
TAZ5052,"50.052 TAZA GRASERA Ø 49,03MM RENAULT 18 Y FUEGO",6271.50,
TAZ5053,"50.053 TAZA GRASERA Ø 39,03MM RENAULT GORDINI",6271.50,
TAZ5055,"50.055 TAZA GRASERA Ø 49,03MM ESTANCIERA/TORINO/",6271.50,
TAZ6061,60.061 TAZA GRASERA Ø 63MM BEDFORD,34841.66,
TAZ7064,70.064 TAZA GRASERA Ø 70MM MERC. BENZ 608,34841.66,
TAZ7065,"70.065 TAZA GRASERA Ø 79,06MM BENZ 1112/1114/3500",34841.66,
TAZ7066,70.066 TAZA GRASERA Ø 90MM MERC. BENZ 1114/1115/,34841.66,
TAZ9080,90.080 TAZA GRASERA Ø 65MM PEUGEOT 504/505,6968.33,
TAZ9081,90.081 TAZA GRASERA Ø 60MM PEUGEOT 504/505,6968.33,
TAZ9102,91.020 TAZA GRASERA Ø 52MM RASTROJERO,6271.50,
,,,
,TUERCAS MARIPOSAS,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TMS1,4 mm Cpo 1,798.03,
TMS2,4 mm Cpo 2,1216.01,
TMS3,5 mm Cpo 1,798.03,
TMS4,5 mm Cpo 2,1216.01,
TMS5,6 mm Cpo 2,1216.01,
TMS6,7 mm Cpo 2,1216.01,
TMS7,8 mm Cpo 2,1216.01,
TMS8,8 mm Cpo 3,2318.20,
TMS9,10 mm Cpo 3,2318.20,
TMS10,12 mm Cpo 4,5298.14,
TMS11,"Cpo 1  1 / 8""",673.99,
TMS12,"Cpo 1  5 / 32""",673.99,
TMS13,"Cpo 2  5 / 32""",1016.47,
TMS14,"Cpo 1  3 / 16""",673.99,
TMS15,"Cpo 2  3 / 16""",1016.47,
TMS16,"Cpo 2  1 / 4""",1016.47,
TMS17,"Cpo 2  5 / 16""",1016.47,
TMS18,"Cpo 3  5 / 16""",2155.00,
TMS19,"Cpo 3  3 / 8""",2155.00,
CODIGO,"Cpo 4  7 / 16""",4428.39,
TMS21,"Cpo 4  1 / 2""",4428.39,
TMS22,"1/2"" x 13 Hilos",4428.39,
SET200B,SET TUERCAS MARIPOSAS C/10 DE C/UNA,871030.51,
SET200C,SET TUERCAS MARIPOSAS C/20 DE C/UNA,867167.26,
,,,
,CHAVETAS TIPO ALFILER,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TRAA0,"Chav.Tipo Alfiler 1,50 X 57",1500.00,
TRAA1,"Chav.Tipo Alfiler 2,50 X 125",3350.00,
TRAA2,"Chav.Tipo Alfiler 3,00 X 100",3450.00,
TRAA3,"Chav.Tipo Alfiler 3,50 X 150",4298.00,
TRAA4,"Chav.Tipo Alfiler 4,00 X 150",6072.00,
TRAA5,"Chav.Tipo Alfiler 4,50 X 160",8080.00,
TRAA6,"Chav.Tipo Alfiler 5,00 X 200",9300.00,
TRAA9,"Chav.Tipo Alfiler 6,00 X 200",13439.00,
TRAA15,"Chav.Tipo Alfiler 2,50 X 80",3042.00,
TRAA16,"Chav.Tipo Alfiler 3,50 X 120",3893.00,
TRAA17,"Chav.Tipo Alfiler 4,00 X 125",4266.00,
TRAA18,"Chav.Tipo Alfiler 5,00 X 170",8605.00,
TRAA30,"Chav.Tipo Alfiler 3,00 X 120",3380.00,
,,,
,CHAVETAS TIPO TIPO TRABAS,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TRA7,"Chav.Tipo Trabas 4,00 X  90",3512.00,
TRA8,"Chav.Tipo Trabas 4,50 X  90",4941.00,
TRA9,"Chav.Tipo Trabas 5,00 X  90",5691.00,
,,,
,"CHAVETAS TIPO ""R""",PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TRA10,"Chav.Tipo ""R"" 1,50 X  30",247.00,
TRA11,"Chav.Tipo ""R"" 2,00 X  40",357.00,
TRA12,"Chav.Tipo ""R"" 2,50 X  60",538.00,
TRA13,"Chav.Tipo ""R"" 3,00 X  60",1062.00,
TRA14,"Chav.Tipo ""R"" 3,50 X  85",1884.00,
TRA15,"Chav.Tipo ""R"" 4,00 X 100",2731.00,
TRA16,"Chav.Tipo ""R"" 4,50 X 100",3230.00,
TRA17,"Chav.Tipo ""R"" 5,00 X 100",3771.00,
TRA18,"Chav.Tipo ""R"" 5,50 X 120",4483.00,
TRA19,"Chav.Tipo ""R"" 6,00 X 140",6263.00,
TRA20,"Chav.Tipo ""R"" 7,00 X 150",10618.00,
TRA21,"Chav.Tipo ""R"" 8,00 X 150",12867.00,
TRA25,TRABA TIPO ABRAZADERA,14500.00,
D400,"DISPLEY CHAVETAS ""R""-ALFILER-TRABAS",Consultar,
SET400,"CHAVETAS ""R""-TRABAS-ALFILER CON 2 CAJAS.",1869520.15,
,,,
,SEGUROS PASADOR CON ANILLO,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TRA22,Ø Perno  6 X LT 45mm X Aro Ø 40mm,8972.67,
TRA23,Ø Perno  8 X LT 50mm X Aro Ø 40mm,12000.00,
TRA24,Ø Perno 11 X LT 50mm X Aro Ø 40mm,16000.00,
TRA28,Ø Perno  4 X LT 42mm X Aro Ø 38mm,6500.00,
,,,
,TUERCAS RAPIDAS,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
TRP4,TUERCAS RAPIDAS PARKER Nº  4,1023.01,
TRP6,TUERCAS RAPIDAS PARKER Nº  6,1023.01,
TRP8,TUERCAS RAPIDAS PARKER Nº  8,1023.01,
TRP10,TUERCAS RAPIDAS PARKER Nº 10,1026.69,
TRP12,TUERCAS RAPIDAS PARKER Nº 12,1150.36,
TRP14,TUERCAS RAPIDAS PARKER Nº 14 CORTA,1150.36,
TRP24,"TUERCAS JAULA P/TORNILLO 5 X 0,80 -  8X8. RENAULT- FIAT",1768.69,
TRP25,"TUERCAS EMBUTIDA P/ TORNILLO DE 5 X 0,8  . RENAULT-FIAT-",1645.02,
TRP26,"TUERCAS JAULA P/TORNILLO 6MM, 8 X 8 . FIAT-",1768.69,
TRP27,TUERCAS EMBUTIDA P/TORNILLO 6MM . FIAT-,1645.02,
TRP28,TUERCAS RETEN DOBLE  C/TUERCA 8 MM. RENAULT,2387.02,
TRP30,TUERCAS RETEN DOBLE C/TUERCA 1/4'' ,2387.02,
TRP31,TUERCAS  RETEN DOBLE C/TUERCA 5/16''FORD - CHEVROLET,2387.02,
TRP32,"TUERCA ""T"" / INSERTO P/ MADERA 5/16""",1521.36,
TRP33,"TUERCA ""T""/ INSERTO P/ MADERA 3/16""",1274.02,
TRP34,"TUERCA ""T""/ INSERTO P/ MADERA 1/4""",1397.69,
TRP35,"TUERCA ""T""/ INSERTO P/ MADERA 6 MM",1397.69,
TRP36,"TUERCA ""T""/ INSERTO P/ MADERA 8 MM",1521.36,
TRP37,"TUERCA ""T"" / INSERTO P/ MADERA 5 MM",1274.02,
TRP38,"TUERCA ""T""/ INSERTO P/ MADERA 5/32""",1150.36,
TRP39,"TUERCA ""T""/ INSERTO P/ MADERA 4 MM",1150.36,
SET215,TUERCAS RAPIDAS CON 25 DEC/U SIN Nº29 CON 1 CAJA.,632989.62,
,,,
,ARANDELAS CUNAS,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
VVV201,"Arand. Cunas Plateadas Nº 4 ( 4,3 X 10,9)",149.15,
VVV202,"Arand. Cunas Plateadas Nº 6 ( 5,35 X 12,8)",171.32,
VVV203,"Arand. Cunas Plateadas Nº 8 ( 6,70 X 14,8)",226.33,
VVV204,"Arand. Cunas Plateadas Nº10 ( 7,90 x 17,9)",286.71,
VVV205,"Arand. Cunas Dorada Nº 4 ( 4,3 X 10,9)",149.15,
VVV206,"Arand. Cunas Dorada Nº 6 ( 5,35 X 12,8)",171.32,
VVV207,"Arand. Cunas Dorada Nº 8 ( 6,70 X 14,8)",226.33,
VVV208,"Arand. Cunas Dorada Nº10 ( 7,8 x 17,9)",286.71,
VVV209,"Arand. Cunas Negra Nº 4 ( 4,3 X 10,9)",187.48,
VVV210,"Arand. Cunas Negra Nº 6 ( 5,35 X 12,8)",216.30,
VVV211,"Arand. Cunas Negra Nº 8 ( 6,70 X 14,8)",287.81,
VVV212,"Arand. Cunas Negra Nº10 ( 7,9 X 17,9)",366.31,
VVV213,"Arand. Cunas Plateadas Nº 12 ( 7,9 X 20 )",346.43,
VVV214,"Arand. Cunas Dorada Nº 12 ( 7,9 X 20)",346.43,
VVV215,"Arand. Cunas Negra Nº 12 ( 7,9 X 20 )",443.20,
SET160,ARANDELAS CUNAS CON 200 C/U EN 1 CAJA PLASTICA.,647969.61,
,,,
,CARBONES,PRECIO UNIT.,
,DESCRIPCION,LISTA 1,
CAR1,SET CON 2 JUEGOS C/U CON 1 EXPENDEDOR (80 JUEGOS),1300384.58,
CAR2,SET CON 5 JUEGOS  C/U CON 1 DISPLEY Y 2 CAJAS (200 JUEGOS),2631372.48,
CAR22,SET CON 5 JUEGOS  C/U CON 1 DISPLEY Y 2 CAJAS (200 JUEGOS),2870751.53,
CAR11,SET CON 2 JUEGOS DE  C/U. SIN DISPLEY Y SIN CAJAS.  80 JUEGOS.,1396136.20,
,,,
ART. Nº,ADIABATIC,,
CAR21020,TURBO – COMPRESOR MOD. EC/2000,12394.60,
,,,
ART. Nº,AEG,,
CAR135,Lijadora de banda,13209.52,
CAR317,AM. 7”  AEG 2100 WATS – Mod. W5,17149.48,
CAR176,TAL. 13MM. LIJ. ORB,13209.52,
CAR136,"AMOLADORA 7""-Mod.WSL 180",14779.81,
CAR175,AM 4 ½ ,10854.81,
,,,
ART. Nº,ALCE,,
CAR236,AM. 7”,19372.73,
CAR131,TALADRO PESADO Y LIVIANO,13209.52,
CAR21010,LUSTRALIJADORA,12627.28,
,,,
ART. Nº,ARGENTEC EX  (DOWN PAGIO),,
CAR225,AM. 4” y 4 ½ “  Mod. AL 100/115,11072.30,
CAR21013,AM. 7”  AL 180,14095.16,
CAR21012,LIJ. PULIDORA LIXA,12627.28,
CAR21010,TAL. MARK – NTG – NTX – LO -LV,12627.28,
CAR21011,TAL. MINI 8 y 10 mm. – N210 - 213,10362.37,
CAR308,TAL. MARK 12 Volts ( Cobre ),23737.16,
CAR510,AM. 9”,20629.90,
CAR21025AR,AMOLADORA  AG 180,19372.73,
CAR223,"LUSTRADORA , PULIDORA  LP 127-147",19372.73,
,"AMOLADORA 7""  AS 207 - 209",,
CAR217 AR,"AM. 4 1/2"" AS 85 800 WATS",14688.57,
,,,
ART. Nº,ARNO,,
CAR300,TALADRO NUEVO,10851.14,
CAR287,TALADRO,9288.24,
,,,
ART. Nº,ASINCRON,,
CAR31008,LAZO,31108.25,
,,,
ART. Nº,BLACK & DECKER,,
CAR21001,AM. AG./C  7” y 9”,14095.16,
CAR222,AM. AG. 7” y 9”- Profesional mod. P5922 / 95722,19367.20,
CAR204,AM. 4” P – 5411 – KG11,11771.24,
CAR211,AM. 4 ½ “ – KG10,11771.24,
CAR205,AM. 7” y 9”,15500.85,
CAR202,Am. 4 ½ “ SEG 500 – TAL 10mm. Mod. BD152 / 154,9291.90,
CAR201,TAL mod. P8020 /P5411 – Sierra Circular  mod. KS810,12848.68,
CAR203,ESMERILADORA  MAG 101,11771.24,
CAR206,TAL. LINEA 7000 – SIERRA CIRCULAR  5 ½ ,7844.97,
CAR209,SIERRA CIRCULAR Mod. 7308 / 7300  7 ¼ ,9320.83,
CAR208,AL. LINEA AR,15946.28,
CAR207,TAL. Mod. BD152 / 154,9291.90,
CAR210,AM . 4 ½ “ Mod. KG 65 / 72,13636.64,
CAR286 B,AM. 7” PROF. Mod. 6138-40 ( DW 304 / 849 / 290 ),14723.69,
CAR190,CORT. CÉSPED REVOLOTO GX300-A,15500.85,
