Codigo,Nombre,Direccion
353,Cruz del Sur (Pat) 4480-6666 ,Perdamino 3751  (CTC - NAVE D)
354,Nueva Ruta ,Pinedo 50 Est Sola Galpon 3 Pta 19
355,Castellanos NO C/REEMBOLSO,Bonavena 1071 *Ex Elias*
356,Petrovalle (SR NELSON) 4918-1144 /4233,San Pedrito 2751
357,Rapi Flet 4605-0999,Cañadon Gomez 5487 (Autodromo)
358,Sur Mar(OJO NO VA SUR ESQUEL),Salom 667(Alt.Av. Iriarte 2500
359,Carlitos Transporte (E. Rios) NO C/REEM,EST. SOLA GALPON 5 PTA 3 Y 4 SALIENDO
360,Vazquez 4911-2083,Grito de Ascensio 3759
361,D'YLT ( Ex Mercopaq),Cnel Bonorino 1246
362,Szilak 4912-3903,Grito De Ascencio 3231
363,Rodriguez Hnos TE4301-9956/7/8,Erescano 3880
364,Ilia,SAN PEDRITO. 3434
365,Pepe ,VARELA 3652
366,Cañuelas ,AV.FERNANDEZ DE LA CRUZ 2340
367,DE SA 4911-1177,Pepiri 633
368,El Faro S.A TE:911-9981,Rio Cuarto 4041
369,Manenti Julio TE 4912-2164,Pedro Baliña 4060
370,La Transportadora 4942-6684,Uspallata 2638
371,Maipuense  4919-2443 /9779,ITATI 2787
372,Frontera NO /CONTRAREEMBOLSO,John Cooke 3225
373,Rio Limay 4601-7012,Pilar 3935
374,Caltabiano 4918-7304,Ferre 2716
375,Rio de La Plata,.
376,Rutalmar,Pavon 3035
377,Coseani 4918-6164,Av Cnel Roca 2896
378,La Internacional,Est. Carga RETIRO
379,Saenz 4912-0082,Ancaste 3791
380,Benoza 4921-0102,Cachimayo 1836
381,Lucero SRL Estacion de Cargas 4911-2083,Grito de Ascencio 3759
382,El Bolson 4635-0924,Larrazabal 2122
383,Yo-Max  4912-3628/3954,Pepiri 633
384,Bibiloni   4919-9071,CARLOS MARIA RAMIREZ 1542 Y MON
385,Rumbo 4911-5831,Montesquiu 487
386,"Haristoy ""no Contrarrembolso"" ",Santo Domingo 3930
387,Trole,Trole 267 (Av Saenz 200)
388,Avelli S.A ***NO ENVIAR X QUIEBRA,Amancio Alcorta 3260 Esq. Bonavena
389,El Vasquito 2206-2600,Av Pergamino 3751 Y Rabanal Mod 38 Y 39
390,Naposta 4301-6553/4302-1143,Pergamino 3750 (CTC) Nave 2 Nº 83/84
391,Bersee 4638-2595,Echiandia 5651
392,Salto Flet 4911-2083,Grito De Ascencio 3759
393,Circolani 4912-3737,Grito de Ascencio 3250
394,Marenguini,Australia 2634
395,Tati 15-54266199,"E. Solá, Galpón 5, Puerta 4 SALIENDO"
396,Le Cona TE:4301-2096,Santa Elena 944
397,Huerque Puelche 4918-2463,Mendez 2596 esq. Varela
398,Angeles 4911-2850,Famatima 3305
399,El Trebol de Mar del Plata NO C/REEMBOL ,Paracas 253
400,O.M.A.R TE:4684-0470 de15a17hs,Larraya 2541
401,Oro Negro 5091-9000,Pergamino 3751 (CTC) 4911-0741/8775
402,Rigars SRL TE: 4942-9339/9711,Amancio Alcorta 2505
403,Expreso Alvear,Roca 3069
404,Brio.,San Pedrito 3771 Esq.Ferre
405,Cormar 3478-1437,San Pedrito 3434 Y Rabanal
406,Casini,Nontesquiu 464
407,Mossotto TE: 0236-442-7187,San Pedrito 3570
408,Romero (NO EXISTE MAS) 4302-1143,Salon 667 TE: 4301-6553
409,Pronto 4855-6969,Thames 680
410,Expreso Chascomus ,Rabanal 2630
411,El Araucano 4846-1374,Pozo de Vargas 3232
412,ANDREA 4918-3590/ 4919-3683,Beron de Astrada 2840
413,El Sol SRL (Saladillo) 4942-9903,Montesquiu 464
414,Rivadavia ,Pepiri 1543
415,Iguazu 4911-7275 // 4912-3484,Grito De Ascencio 3141
416,Sedica Logistica 4911-5011,TRAFUL 3768
417,Ribota TE 4911-6692 4911-1980,Monteagudo 663
418,El Aguara (NO CONTRARREMB),Beron De Astrada 2836
419,Garmendia 4911-4612 C/REEMB CON CHEQUE**,Santo Domingo 3930
420,Las Heras 4911-4784,Iguazu 719
421,Sierra  TE: 4741-1200 Llamar De 14 A 17h,Pedernera 2815/ Belgrano 1656 Torcuato 
422,Jet-Pack 4130-4000,Aeroparque Jorge Newbery
423,Fraser NO C/REEMBOLSO 4919-1368,Gral Chilavert 3258
424,Traverso 4941-8370 ,Pedro Chutro 2735
425,Top-Line,Albariño 3660
426,Connangel S.A 4306-2278,Luis Saenz Peña 2002
427,Bonader 4308-4624,Uspallata 2653
428,Tarres 4301-6750,Suarez 2761
429,RETIRA COMISIONISTA,.
430,Nueva Alianza NO CONTRARREMBOLSO,Homero Manzi 3042/44
431,Transportadora Andina 4919-9461/ 9908,Ferre 2526
432,Lecina (Lincoln)***NO MANDAR C/REEMBOLSO,Pedro Chutro 2735
433,Credi-Fin S.A (No contra reemb ),Pergamino 3751 Nave A Nª 6/7/8
434,Brinatti 3754-7200 Hasta 16hs,Pergamino 3750 CTC - V Soldati
435,Morenchino,Jose Barros Paso 5560
436,Copeball 4942-2986,Colonia 225
437,Buenos Aires SRL 4301-0923,Santa Magdalena 364
438,Avelli S.A***NO ENVIAR X QUIEBRA,Amancio Alcorta 3260 Esq Bonavena
439,Mostto NO USAR,
440,Peruggini TE:4912-3600,Beazley 3525 (A.Alcorta 3500)
441,El Caballero NO CONTRARREMBOLSO,FERRE 2519
442,T.A.C,TERMINAL RETIRO
443,Norte (Misiones) 4919-2591,Av Int. Ravanal 2846 *Ex Roca
444,Deposito Rosamonte,Suarez esq. Velez Sarfield
445,B.J,Portella 3245
446,TCN Carga del Norte S.A 4911-3113,Ancaste 3536
447,Baymar Express-M DEL PLATA 4912-1279,Zabaleta 661
448,25 De Mayo 4942-4456,Monasterio 269
449,Interprovincial - FACT AFUERA DE LA CAJA, Añasco 2790
450,Brusa 4918-8734,Ferre 2102
451,Logistica y Servicios 4301-7600,Bto Quinquela Martin 1391
452,"Luces ""NOHACE C/REEMBOLSO""",POTOSI 1965
453,Roele,Luna 696
454,Ratti Raul (Lin-Ros) 4922-6627,Jose Marmol 854
455,Banchero 4919-9043,O Gorman 3016 
456,Paris TE 4942-1057 4942-9903,Montesquiu 464
457,Banchero 4919-9043,O Gorman 3016
458,El Paisanito TE 4802-8528,Ex Mercado Salguero 3451 1º 36
459,Santa Marta Del Norte -Valle,Ventana 3772
460,Labruna 4602-2892,Murgiondo 3317/19
461,3 Pack 4303-4701,Luzuriaga 834
462,Perez Jorge,Lambare 5266(Crovara 2100)
463,Libertador 4716-0130,Mestra Baldini 1710
464,Nenu 4368-2595,Echeandia 5651
465,El Trebol Pampeano O Orsi 4942-6684,Uspallata 2638
466,COLECTIVO 4703-0432,Av Cabildo 4702
467,Merixel TE: 4919-8045,Mon 3538
468,Norte (Formosa) **NO HACE C/REEMBOLSO,San Pedrito 3494
469,T B Transporte (ex Veracruz) 4918-7304,Ferre 2775
470,Arnes 4301-2835,Australia 2959
471,Rober Dibe,Luna 666
472,Bai-Mar -San Cayetano,Mirave  3381
473,Gabeli,ANCASTE 3095
474,Escobar TE:4911-8490/4912-0621,Monteagudo 754
475,Ballent,Pepiri 1245
476,Italia 4919-1158,Rabanal 2630
477,Furnaris,Ancaste 3791
478,Ferreiro (SAWER)TE 4941-3742,Luna 358
